#RPLIDAR SCAN DATA
#COUNT=466
#Angule	Distance	Quality
355.4352 387.0 188
355.8087 387.0 188
356.8250 387.0 188
357.1985 387.0 188
357.8412 387.0 188
358.6047 387.0 188
359.2310 387.0 188
0.1208 388.0 188
0.6207 389.0 188
1.1371 393.0 188
4.2023 381.0 188
4.9823 390.0 188
5.4987 393.0 188
6.2787 389.0 188
7.0422 395.0 188
17.1552 234.0 188
16.6718 228.0 188
17.6825 227.0 188
18.8416 227.0 188
19.9841 227.0 188
20.6378 225.0 188
20.0281 225.0 188
21.9342 225.0 188
21.3245 225.0 188
22.5934 225.0 188
22.2473 226.0 188
24.5105 226.0 188
25.1697 227.0 188
24.9335 227.0 188
26.4661 228.0 188
27.1088 228.0 188
27.7625 230.0 188
28.3887 231.0 188
27.5153 231.0 188
33.4479 367.0 188
33.8269 359.0 188
34.7003 363.0 188
37.8424 248.0 188
36.2164 374.0 188
37.2162 371.0 188
37.8589 371.0 188
39.4958 388.0 188
40.2484 384.0 188
40.4956 389.0 188
41.1218 395.0 188
41.7645 398.0 188
42.3853 400.0 188
43.1378 404.0 188
43.6542 410.0 188
44.1541 414.0 188
44.7803 417.0 188
45.5438 424.0 188
46.1700 427.0 188
46.6864 432.0 188
49.5923 474.0 188
49.9658 470.0 188
50.6085 480.0 188
51.4819 487.0 188
51.7456 498.0 188
52.3718 503.0 188
53.1354 514.0 188
53.5144 521.0 188
54.1406 531.0 188
54.7778 547.0 188
56.4368 791.0 188
57.6837 802.0 188
58.2001 832.0 188
58.8263 850.0 188
59.4635 865.0 188
59.9634 887.0 188
60.6061 906.0 188
61.3586 922.0 188
61.8750 946.0 188
62.3749 968.0 188
63.1384 992.0 188
63.6548 1014.0 188
64.1547 1038.0 188
64.7919 1059.0 188
65.4346 1034.0 188
66.0608 1028.0 188
66.6980 1029.0 188
67.4670 1023.0 188
69.3567 675.0 188
69.8730 719.0 188
70.6201 719.0 188
71.0156 744.0 188
72.5427 721.0 188
73.2953 699.0 188
73.8116 692.0 188
74.5752 691.0 188
75.2014 690.0 188
75.8386 690.0 188
76.3550 690.0 188
77.1075 691.0 188
77.7448 690.0 188
78.2611 690.0 188
78.8873 690.0 188
79.5300 689.0 188
80.2936 690.0 188
80.7935 690.0 188
81.4362 689.0 188
82.1997 691.0 188
82.8424 690.0 188
83.2159 724.0 188
84.1058 641.0 188
84.8749 625.0 188
85.5121 628.0 188
86.0120 628.0 188
86.7810 629.0 188
87.5446 630.0 188
88.0609 631.0 188
88.5773 631.0 188
89.3243 633.0 188
89.9670 634.0 188
90.4834 635.0 188
91.2469 636.0 188
91.7468 636.0 188
92.3895 637.0 188
93.1531 639.0 188
93.7958 641.0 188
94.3121 642.0 188
94.9329 644.0 188
95.7019 644.0 188
96.3391 646.0 188
96.9818 649.0 188
97.6080 650.0 188
98.1244 654.0 188
98.7616 653.0 188
99.4043 656.0 188
99.9207 658.0 188
100.7941 663.0 188
101.3104 665.0 188
101.8268 670.0 188
102.4640 729.0 188
103.6066 1125.0 188
104.2328 1128.0 188
104.8700 1130.0 188
105.4962 1137.0 188
105.9961 1141.0 188
106.7487 1145.0 188
107.3859 1148.0 188
107.8857 1154.0 188
108.6383 1157.0 188
109.1547 1192.0 188
109.9017 1161.0 188
110.4016 1163.0 188
111.0278 1171.0 188
115.9497 2930.0 188
116.7023 2809.0 188
117.3395 2735.0 188
117.9657 2688.0 188
118.5919 2607.0 188
119.2181 2539.0 188
119.8553 2542.0 188
120.4816 2538.0 188
121.1078 2563.0 188
121.7450 2580.0 188
122.3877 2551.0 188
123.0304 2478.0 188
123.6676 2435.0 188
124.3103 2395.0 188
124.9530 2369.0 188
125.7166 2329.0 188
126.3593 2297.0 188
126.9965 2255.0 188
127.6392 2238.0 188
128.2764 2207.0 188
128.9191 2168.0 188
129.5618 2153.0 188
130.1990 2124.0 188
130.8417 2091.0 188
131.4844 2073.0 188
132.2644 1900.0 188
