#RPLIDAR SCAN DATA
#COUNT=137
#Angule	Distance	Quality
61.1554 1609.0 188
61.8091 1596.0 188
62.4683 1641.0 188
63.1384 1641.0 188
63.9185 1650.0 188
64.4513 1973.0 188
64.9841 2014.0 188
65.6543 1991.0 188
66.3080 1993.0 188
67.0935 1973.0 188
67.6373 1956.0 188
68.2965 1956.0 188
69.0765 1943.0 188
69.6204 1929.0 188
70.2795 1922.0 188
70.9332 1914.0 188
71.6089 1910.0 188
72.3889 1908.0 188
72.9218 1901.0 188
73.7183 1895.0 188
74.2456 1893.0 188
75.0311 1897.0 188
75.6848 1882.0 188
76.2341 1871.0 188
77.0142 1864.0 188
77.5415 1865.0 188
78.3435 1855.0 188
78.9972 1855.0 188
79.6509 1853.0 188
80.3265 1850.0 188
80.9802 1850.0 188
81.6394 1845.0 188
82.3096 1837.0 188
82.9688 1834.0 188
83.6224 1834.0 188
84.2926 1837.0 188
84.9518 1832.0 188
85.6219 1831.0 188
86.2921 1832.0 188
86.9678 1834.0 188
87.6379 1826.0 188
88.2916 1829.0 188
88.9673 1824.0 188
89.6375 1826.0 188
90.3076 1820.0 188
90.9833 1817.0 188
91.6370 1824.0 188
92.3071 1829.0 188
92.9828 1826.0 188
93.6530 1828.0 188
94.3231 1831.0 188
94.9988 1832.0 188
95.6525 1847.0 188
96.3281 1840.0 188
96.9983 1843.0 188
97.5421 1852.0 188
98.3386 1849.0 188
98.9978 1853.0 188
99.6680 1852.0 188
100.3436 1856.0 188
101.0138 1861.0 188
101.6840 1862.0 188
102.2168 1863.0 188
103.0133 1875.0 188
103.6835 1877.0 188
104.3591 1875.0 188
104.9030 1885.0 188
105.6995 1897.0 188
106.3422 1896.0 188
106.9794 1908.0 188
107.4957 1911.0 188
108.1384 1911.0 188
108.7921 1920.0 188
109.4348 1933.0 188
110.1984 1935.0 188
110.8411 1956.0 188
111.4838 1965.0 188
112.0111 1975.0 188
112.6538 1983.0 188
113.2965 1996.0 188
113.9337 2010.0 188
114.5929 2018.0 188
115.2301 2025.0 188
115.8728 2026.0 188
116.5155 2060.0 188
117.1527 2063.0 188
117.8119 2072.0 188
118.4491 2077.0 188
119.3390 1533.0 188
119.9817 1511.0 188
120.6354 1512.0 188
121.2781 1501.0 188
121.9208 1489.0 188
122.5580 1480.0 188
123.2007 1474.0 188
123.9807 1462.0 188
124.4971 1454.0 188
125.1398 1468.0 188
125.7770 1493.0 188
126.4362 1523.0 188
127.0624 1570.0 188
127.6996 1607.0 188
128.6060 2312.0 188
129.3750 2278.0 188
130.0122 2241.0 188
130.6384 2224.0 188
131.2811 2189.0 188
131.9183 2158.0 188
132.5610 2126.0 188
133.1982 2124.0 188
133.8409 2075.0 188
134.4672 2046.0 188
135.1044 2029.0 188
135.7471 2010.0 188
136.3898 1982.0 188
137.0270 1972.0 188
137.6697 1938.0 188
138.4332 1920.0 188
139.0594 1900.0 188
139.7021 1880.0 188
140.3394 1866.0 188
140.9821 1847.0 188
141.6248 1828.0 188
142.2620 1805.0 188
142.8882 1807.0 188
143.5309 1841.0 188
144.1681 1855.0 188
144.8108 1925.0 188
152.6990 133.0 188
201.9012 135.0 188
203.2141 134.0 188
316.3568 140.0 188
317.0270 153.0 188
317.7466 209.0 188
317.9059 253.0 188
320.0757 209.0 188
315.8569 659.0 188
